name,geometry
Amissah Complex,"POLYGON ((-174653.8851461725 744613.079142635, -174623.48364235 744620.3755035524, -174620.57860976254 744609.1607265867, -174651.25034917457 744602.1346012589, -174653.8851461725 744613.079142635))"
Pharmacy Building,"POLYGON ((-174619.60239097502 744608.3896241798, -174608.13648342332 744611.5054189875, -174598.70641673467 744575.7866312788, -174609.85363480292 744573.0504959348, -174619.60239097502 744608.3896241798))"
Faculty Of Agriculture,"POLYGON ((-174437.6666952782 744822.3875850579, -174421.7912725439 744822.4026002554, -174421.93391705037 744819.5146429467, -174383.21760193314 744819.5602452024, -174383.2176019331 744804.420296299, -174410.53335311715 744804.2378872761, -174417.69290726722 744804.420296299, -174421.88831479463 744804.5115008105, -174421.9795193061 744801.5473541878, -174437.3474794881 744801.4561496763, -174437.6666952782 744822.3875850579))"
The Energy Center - KNUST (current offices)E-classroom,"POLYGON ((-174302.78801362263 744499.0712586638, -174239.88911068547 744510.7678375673, -174237.43839983476 744496.8374811526, -174300.5119580456 744486.0027594968, -174302.78801362263 744499.0712586638))"
Faculty of Social Science Office(Ebenezer Acquaye Building),"POLYGON ((-174330.26768274567 744693.7906489624, -174249.10706810508 744708.4631747445, -174246.6445462955 744697.3818266013, -174327.64627201692 744681.1914537015, -174330.26768274567 744693.7906489624))"
BT Offices,"POLYGON ((-174224.66140889103 744638.9738874309, -174196.5476182317 744644.6171665777, -174195.00854210072 744634.9722894903, -174223.01972768464 744629.1238001925, -174224.66140889103 744638.9738874309))"
Achitecture Studio1,"POLYGON ((-174150.85652935298 744625.3376989436, -174189.22835782936 744618.6129605751, -174191.10094280847 744628.5508977784, -174152.74024628106 744635.2644294879, -174150.85652935298 744625.3376989436))"
Trevallion Block,"POLYGON ((-174198.2406019757 744668.4215440705, -174160.78974945509 744675.1934790468, -174158.73300031587 744662.7741995197, -174195.98329031694 744655.8011197963, -174198.2406019757 744668.4215440705))"
Levine Building,"POLYGON ((-174266.0369055459 744581.9511167774, -174223.8662195569 744591.0829684879, -174222.01932819968 744579.4372924303, -174263.4717786609 744570.9723737099, -174266.0369055459 744581.9511167774))"
Kwami Building,"POLYGON ((-174274.3479166532 744603.8059978373, -174227.56000227126 744612.732639397, -174225.4052956879 744601.1382658769, -174271.57757961744 744591.9038090911, -174274.3479166532 744603.8059978373))"
B(Wash Room),"POLYGON ((-174227.30348958258 744662.162634471, -174216.40170032144 744664.7277613559, -174214.50350642655 744653.3899005243, -174225.742772282 744651.6642379964, -174227.30348958258 744662.162634471))"
Rabbit House,"POLYGON ((-174316.95751770202 744527.4391205915, -174299.73804935612 744530.5347553503, -174298.70617110317 744524.7304401775, -174315.60317749504 744521.3123434647, -174316.95751770202 744527.4391205915))"
The Energy Center - KNUST (Current Offices),"POLYGON ((-174303.61413764028 744484.2151919883, -174291.8587994125 744486.3334793459, -174288.7098505276 744468.5898139784, -174300.89891239043 744466.397072691, -174303.61413764028 744484.2151919883))"
Engineering Lab,"POLYGON ((-174483.54136316094 744423.8320947575, -174454.81000305573 744429.1849631947, -174452.74624654985 744417.2216246997, -174481.21963709182 744411.9654948487, -174483.54136316094 744423.8320947575))"
Achitecture Studio2,"POLYGON ((-174149.68767368564 744667.480104991, -174141.53908695944 744669.0267961209, -174132.6759587957 744624.8656895636, -174140.98696990302 744623.6344286589, -174149.68767368564 744667.480104991))"
Bt Building,"POLYGON ((-174169.90171849544 744659.6825517796, -174157.68997035542 744662.2155382074, -174153.7613017903 744640.6155686374, -174166.5356336774 744638.2556519033, -174169.90171849544 744659.6825517796))"
Chemistry Block 2,"POLYGON ((-174538.889105512 744608.6834567495, -174520.57704927644 744613.2899016785, -174517.2708603999 744600.1318337343, -174535.57178468636 744595.5253899106, -174538.889105512 744608.6834567495))"
Pharmacy Block,"POLYGON ((-174421.7664553955 744641.8828114992, -174411.1809006736 744643.493177852, -174408.08526591476 744624.9193692991, -174418.59384990792 744623.1992439121, -174421.7664553955 744641.8828114992))"
BIRD(Bureau Of Integrated Rural Development),"POLYGON ((-174357.94239271642 744614.3822599383, -174353.13339071412 744587.4609007881, -174345.21857491875 744588.8730949858, -174339.94905502544 744557.1378665592, -174351.81565493424 744554.8806328808, -174362.55101963528 744613.5977072367, -174357.94239271642 744614.3822599383))"
Bt Workshop 2,"POLYGON ((-174137.3835336708 744672.8355327123, -174117.86662624654 744676.1340255713, -174114.09549619685 744657.3125831, -174133.50961539126 744653.4346483579, -174137.3835336708 744672.8355327123))"
Ablor Building(Center for settlement studies),"POLYGON ((-174137.16366844304 744794.7273184446, -174111.30845184403 744799.6106833909, -174109.35895541144 744788.683242861, -174135.42064456278 744783.9634093925, -174137.16366844304 744794.7273184446))"
Agric & Bio Systems Eng.,"POLYGON ((-174427.92134523974 744951.0614812608, -174419.47139524086 744948.5918277986, -174420.15542907684 744945.5364766645, -174386.40975983447 744936.5984345408, -174392.292450824 744912.7484547924, -174426.08372232213 744921.4128833817, -174427.0413696925 744917.5822939001, -174435.4777870031 744919.9080089425, -174427.92134523974 744951.0614812608))"
Biotechnology Lab,"POLYGON ((-174435.29401336424 744866.8760590906, -174413.20108507757 744867.1918013154, -174413.20108507757 744855.4264193363, -174435.8654061768 744855.3352148249, -174435.29401336424 744866.8760590906))"
Biotechnology Lab,"POLYGON ((-174371.6802312327 744866.8953866531, -174360.37087181094 744866.9409889088, -174360.36017206826 744847.4953612083, -174371.8170379999 744847.605632478, -174371.6802312327 744866.8953866531))"
Evans Anfom Auditorium,"POLYGON ((-174277.904021565 744860.5755660831, -174258.6457496577 744860.508318404, -174258.69027745404 744849.9616417568, -174258.6234857595 744847.6303893825, -174254.63824798915 744851.4410904311, -174250.30791979725 744846.913080979, -174250.21886420468 744831.4461208164, -174254.86088697077 744824.1609599307, -174259.11329151902 744826.8620733157, -174259.11329151902 744814.9032030317, -174277.82609792138 744814.970450656, -174277.7815701251 744825.7973190611, -174316.67660020827 744825.9318143341, -174316.59867656464 744850.163384755, -174277.9485493613 744850.0288894236, -174277.904021565 744860.5755660831))"
Faculty Of Resource Technology,"POLYGON ((-174199.88513332373 744942.7889407569, -174165.7138430275 744943.1537588029, -174165.8354490428 744930.3851271976, -174199.88513332373 744930.8107482509, -174199.88513332373 744942.7889407569))"
Faculty Of Resource Technology,"POLYGON ((-174200.13727453802 744905.8688533552, -174166.01785806575 744905.7599091018, -174166.13946408103 744893.1128835117, -174200.55396640787 744893.5993075728, -174200.13727453802 744905.8688533552))"
J.Q. K. Owusu Complex,"POLYGON ((-174162.52168512653 744876.7112721996, -174126.16148655507 744876.5592646806, -174126.25269106653 744865.0066932281, -174162.6432911418 744864.9762917242, -174162.52168512653 744876.7112721996))"
J.Q. K. Owusu Complex,"POLYGON ((-174124.72116417187 744909.2129093797, -174112.87602938473 744909.0888737703, -174113.11924141532 744877.4713097952, -174124.91502489836 744877.9577338563, -174124.72116417187 744909.2129093797))"
Car Park,"POLYGON ((-174123.02015548706 744863.0818663453, -174102.17089985154 744863.3384107059, -174102.23930323514 744855.81403851, -174123.19353974442 744855.9508452772, -174123.02015548706 744863.0818663453))"
Faculty Of Resource Technology,"POLYGON ((-174176.05032001535 744928.4026317503, -174169.4936020076 744928.3129680724, -174169.42282649383 744908.0096203847, -174176.41517237294 744908.2528324153, -174176.05032001535 744928.4026317503))"
+2 (Food Joint),"POLYGON ((-174164.19418630132 744693.2022606088, -174155.4200838427 744694.6713425267, -174153.91520940352 744684.6844485211, -174162.19201881904 744682.9743639311, -174164.19418630132 744693.2022606088))"
JK Siaw Agyapong Building(School Of Graduate Studies),"POLYGON ((-174516.32699410056 744152.1092973219, -174518.9971515873 744167.1239151446, -174504.67413948177 744169.6898251381, -174504.98917058567 744172.997651729, -174493.3101686253 744175.1908667532, -174492.91815194552 744172.1150435734, -174479.0015688377 744174.502489289, -174475.71764385924 744159.5736936297, -174489.7662065618 744156.9973970528, -174489.15390639793 744153.4542335179, -174500.94264047308 744151.3695824285, -174501.68848106137 744154.9448711757, -174516.32699410056 744152.1092973219))"
Saarah Mensah Auditorium(KSB Auditorium),"POLYGON ((-174526.10902827323 744068.1243132557, -174497.94735095437 744068.1243132557, -174497.968848418 744021.3888273844, -174525.78656631918 744021.625299484, -174525.57870927468 744029.4993472431, -174535.20245537692 744029.6008584806, -174534.81550103208 744048.6906061594, -174526.09077893224 744048.8775976571, -174526.10902827323 744068.1243132557))"
Lab 1,"POLYGON ((-174273.47633587936 745092.2725820652, -174260.19411653106 745113.869603328, -174249.5915920729 745107.6904976761, -174262.6338174761 745085.7495302457, -174273.47633587936 745092.2725820652))"
Pharmacy Building,"POLYGON ((-174479.9716545838 744655.7763657817, -174471.89836634646 744657.4315587675, -174472.168601936 744659.1205312021, -174461.5111858737 744661.1979672963, -174461.30850918157 744659.8636790729, -174453.23522094425 744661.4175337128, -174451.2591231958 744651.3850374514, -174453.89392019375 744650.777007375, -174449.0634590309 744627.3002905343, -174446.6313387251 744627.8407617133, -174445.14504298268 744620.0714885143, -174471.8308074491 744614.8018945183, -174473.24954429414 744622.5711677175, -174470.8849828857 744623.3143155887, -174475.4789879078 744646.2167818015, -174477.94488766228 744645.6763106228, -174479.9716545838 744655.7763657817))"
"Department Of Horticultre,KNUST(Offices)","POLYGON ((-174234.82406159083 745135.2570612672, -174216.82637132774 745124.1605123718, -174220.35294577118 745117.8065980729, -174238.95866611076 745128.9031469682, -174234.82406159083 745135.2570612672))"
Center For Settlement Studies,"POLYGON ((-174149.02999510086 744775.4449354934, -174154.3399348117 744774.3689743426, -174157.6906514845 744790.6540969439, -174140.80741102123 744794.4804296211, -174137.62665368387 744777.8071048687, -174143.08553429248 744776.5769363104, -174145.47594195188 744787.451981956, -174151.1192210988 744786.272023589, -174149.02999510086 744775.4449354934))"
KNUST School Of Medicine And Dentistry(SMS),"POLYGON ((-174560.6147890248 744368.7988633544, -174557.36037153617 744356.5748989924, -174538.91679255053 744361.2364629118, -174534.86325870754 744344.6169741555, -174565.46743922218 744336.5099064696, -174569.72364975733 744351.1026283044, -174560.80587530273 744353.7374253023, -174564.07682518856 744367.8798200442, -174560.6147890248 744368.7988633544))"
KNUST Central Lab,"POLYGON ((-174353.59288468875 744136.7058749343, -174323.74430254928 744143.4037724222, -174321.1646139453 744131.3912416736, -174344.26975685 744125.9865298831, -174343.05369669714 744121.1222892716, -174319.67831820287 744126.572040327, -174317.33627642697 744113.9160068841, -174347.10723054007 744107.2051564108, -174349.3141545212 744116.0103327029, -174351.746274827 744115.4473418915, -174354.42611108982 744127.1350311385, -174351.70123556207 744127.6529826851, -174353.59288468875 744136.7058749343))"
Agric Greenhouse,"POLYGON ((-174249.20397289895 745097.9544160765, -174245.93321788724 745103.4950950389, -174243.27567965348 745108.0781168495, -174240.84121809588 745112.4418386142, -174239.44509017182 745116.8337499505, -174223.56835605824 745108.2197796667, -174226.61357161973 745104.0982462462, -174229.23018488736 745100.4169378862, -174231.80541454442 745095.6792612569, -174235.4320916672 745089.47239651, -174249.20397289895 745097.9544160765))"
Agric Greenhouse 2,"POLYGON ((-174223.111882244 745089.5674012107, -174220.8013679535 745087.9865230119, -174216.11953636486 745084.885569622, -174210.28244763098 745080.8117681098, -174224.51035141983 745060.92918461, -174230.04342511547 745064.5773650687, -174237.58796741648 745069.6963373831, -174223.111882244 745089.5674012107))"
Washroom,"POLYGON ((-174302.41465218092 745109.7519608286, -174292.0808878983 745127.54492647, -174284.5926529109 745122.8202401153, -174295.03423991177 745105.5243905283, -174302.41465218092 745109.7519608286))"
Renewable Natural Resource New Block,"POLYGON ((-174204.26294987416 745037.945647721, -174196.35855888037 745036.7903905757, -174196.7841799339 745033.993452224, -174168.51078137915 745029.0076055971, -174168.08516032566 745031.9869529717, -174157.62704301078 745030.22366575, -174159.20792120954 745021.8936537027, -174157.931058049 745021.5896386645, -174159.51193624776 745010.5234912732, -174161.0320114389 745010.5842942809, -174162.49128362237 745002.0718732106, -174173.55743101367 745003.7743574247, -174172.9494009372 745007.0577198374, -174200.55396640784 745011.6787484185, -174200.9187844537 745008.7602040515, -174209.24879650102 745010.4626882656, -174204.26294987416 745037.945647721))"
,"POLYGON ((-174149.46072410533 744950.2268050734, -174137.2299402926 744949.774442937, -174137.3297834257 744940.5764136339, -174149.56056723846 744941.003644469, -174149.46072410533 744950.2268050734))"
,"POLYGON ((-174156.53595324638 744729.6940766993, -174147.64991439474 744731.0008954112, -174144.5268450045 744710.3442677939, -174152.6839484987 744708.5999815122, -174156.53595324638 744729.6940766993))"
Bt Workshop 1,"POLYGON ((-174140.51612506545 744693.6063721274, -174118.61906346626 744697.1338643362, -174117.93502963026 744695.286972979, -174113.96763338152 744695.9026034314, -174111.77872510633 744682.2903300951, -174138.66125486087 744678.4597406136, -174140.51612506545 744693.6063721274))"
N Block,"POLYGON ((-174297.798795993 744676.2046574339, -174261.59068561194 744683.3591329635, -174260.46202978247 744672.773709352, -174296.80036466135 744668.7658510017, -174297.798795993 744676.2046574339))"
N Block,"POLYGON ((-174291.7083648699 744668.0119179736, -174279.78959084832 744669.9093161137, -174279.39021831562 744667.7480414166, -174278.2669830675 744667.8234347181, -174278.16713993435 744666.2653064971, -174276.345002754 744666.692535199, -174275.9206694381 744663.2998367822, -174277.85513014323 744662.696690419, -174277.13126742782 744657.7584298195, -174246.47942554613 744662.583600477, -174244.7761813041 744654.2250199654, -174288.3636199089 744647.555205765, -174291.7083648699 744668.0119179736))"
Icycup,"POLYGON ((-174381.00589253014 744795.6418620707, -174359.80084361436 744795.5050553035, -174359.66409738048 744788.12614553, -174352.18526690698 744788.2086943862, -174352.3676759299 744768.3261108866, -174380.54986997283 744767.7788838178, -174381.00589253014 744795.6418620707))"
Electricity Grid,"POLYGON ((-174517.61975437507 744917.3450410445, -174498.84924534 744915.6361184712, -174500.56360650604 744886.375150222, -174519.89896293732 744887.7128163902, -174517.61975437507 744917.3450410445), (-174514.122677211 744904.0080224392, -174514.2442832263 744901.8799171717, -174502.93492380422 744901.0894780722, -174502.8133177889 744903.0959773245, -174514.122677211 744904.0080224392))"
Electricity Grid,"POLYGON ((-174530.45466216616 744880.288869625, -174533.7994071271 744880.288869625, -174532.65121109577 744886.5214070388, -174516.77615292245 744884.611435821, -174518.57332931933 744874.8605311644, -174531.40317193113 744876.3181405129, -174530.45466216616 744880.288869625))"
SMS Old Bush Canteen,"POLYGON ((-174673.9952413679 744451.1120986658, -174664.6099868505 744451.0115746593, -174663.6115555188 744430.9067772198, -174673.89539823486 744429.7004896066, -174673.9952413679 744451.1120986658))"
SMS,"POLYGON ((-174644.64136021744 744459.8576878653, -174638.4510859612 744461.6671202887, -174634.65704690092 744444.7790866647, -174641.14685055657 744444.0754187114, -174644.64136021744 744459.8576878653))"
SMS,"POLYGON ((-174558.97595196165 744363.7568071352, -174522.58312992283 744373.5076210473, -174516.94199289908 744358.9819246662, -174532.51752167285 744355.1620189906, -174536.2616391666 744366.2196414138, -174558.05646538173 744360.1637785067, -174558.97595196165 744363.7568071352), (-174532.91689420555 744367.2248799271, -174532.01830600706 744363.7568071365, -174523.4317965548 744365.817546015, -174524.43022788648 744369.6374524317, -174532.91689420555 744367.2248799271))"
Faculty of Arts,"POLYGON ((-174315.42971960976 743983.9897059192, -174271.11739549314 743993.0784132427, -174269.5180950629 743986.2521309184, -174314.10347047247 743976.6563283365, -174315.42971960976 743983.9897059192))"
,"POLYGON ((-174249.84865013912 743794.0142688353, -174227.6291011739 743794.9211892012, -174227.438940452 743787.1831105951, -174249.58535067804 743786.4078399597, -174249.84865013912 743794.0142688353))"
,"POLYGON ((-174213.44018577147 743799.441163283, -174200.26789884374 743799.6971488702, -174199.98265776093 743792.8001657648, -174213.29390829307 743792.5661217993, -174213.44018577147 743799.441163283))"
,"POLYGON ((-174197.44474351133 743750.9574930759, -174191.56438888062 743751.0452595628, -174191.53513338495 743745.3696934019, -174189.89682562713 743745.4282043932, -174189.39948220068 743752.1862238941, -174183.22657261323 743751.7181359633, -174186.64946560704 743689.7769377452, -174192.29577627243 743689.7184267538, -174192.61758672487 743696.6227237332, -174191.59364437623 743696.6812347246, -174191.30108941952 743707.1400744284, -174192.12024329844 743707.2278409154, -174192.0178490636 743708.9685429082, -174199.5657669479 743709.1440758823, -174199.30246748676 743718.2132795417, -174201.35035218403 743718.2132795417, -174201.16019146208 743722.3821876752, -174198.81975180807 743722.1773992055, -174198.55645234697 743732.9726771096, -174201.51125741017 743733.2213488228, -174201.5697684015 743736.5857308254, -174197.91283144214 743736.4101978514, -174197.88357594644 743737.9314836265, -174199.98997163505 743737.8437171394, -174199.83638028274 743742.1442750037, -174197.62027648534 743742.1808443733, -174197.44474351133 743750.9574930759))"
,"POLYGON ((-174176.68796932945 743654.4289850955, -174172.16799524752 743654.6703429348, -174171.9266374082 743650.8305591274, -174171.66333794713 743647.0566001852, -174176.38078662482 743646.8591255894, -174176.68796932945 743654.4289850955))"
,"POLYGON ((-174208.4155543895 743735.3350583855, -174203.79318607284 743731.7073769218, -174206.13362572686 743726.3243657176, -174212.3943018013 743729.1914042938, -174208.4155543895 743735.3350583855))"
,"POLYGON ((-174208.47406538084 743726.5584096828, -174204.49531796903 743726.3828767088, -174205.665537796 743716.90409611, -174209.58577421648 743717.1966510668, -174208.47406538084 743726.5584096828))"
,"POLYGON ((-174254.98298963023 743761.4675298969, -174252.52552799354 743761.4382744012, -174252.10132330624 743755.4847810313, -174254.64655142996 743755.4408977878, -174254.98298963023 743761.4675298969))"
Engineering Lab,"POLYGON ((-174335.28702239998 744447.68580619, -174328.19759755058 744448.8445524557, -174325.6639904614 744434.1831234834, -174332.9355075251 744432.9255218626, -174335.28702239998 744447.68580619))"
Green House,"POLYGON ((-174422.1820263838 744883.4874500806, -174412.362440648 744883.2901961573, -174412.28103613513 744872.842841964, -174422.15674044588 744872.9279252078, -174422.1820263838 744883.4874500806))"
